Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,133.320007,135.990005,132.610001,134.300003,134.300003,123600
2017-11-07,134.449997,134.449997,132.679993,133.710007,133.710007,87000
2017-11-08,133.009995,134.789993,132.570007,134.389999,134.389999,91900
2017-11-09,132.979996,134.979996,132.160004,133.389999,133.389999,95000
2017-11-10,133.100006,134.399994,132.100006,133.500000,133.500000,80300
2017-11-13,132.649994,133.990005,131.619995,132.220001,132.220001,83000
2017-11-14,131.789993,134.190002,130.869995,133.179993,133.179993,198100
2017-11-15,132.619995,133.600006,131.619995,132.240005,132.240005,132600
2017-11-16,132.779999,134.570007,132.779999,133.419998,133.419998,84700
2017-11-17,133.070007,134.259995,132.520004,133.759995,133.759995,102300
2017-11-20,134.000000,134.929993,133.789993,134.589996,134.589996,84800
2017-11-21,135.339996,137.000000,134.990005,137.000000,137.000000,65800
2017-11-22,137.000000,137.860001,135.789993,137.460007,137.460007,40400
2017-11-24,138.119995,138.119995,136.000000,137.429993,137.429993,29700
2017-11-27,137.440002,138.250000,136.059998,136.300003,136.300003,58400
2017-11-28,136.250000,138.449997,135.410004,138.199997,138.199997,48300
2017-11-29,138.500000,138.500000,136.070007,136.589996,136.589996,60700
2017-11-30,137.160004,137.699997,135.000000,136.759995,136.759995,55700
2017-12-01,136.839996,137.669998,133.419998,135.000000,135.000000,54500
2017-12-04,136.160004,137.349899,134.679993,135.559998,135.559998,11244
